SiteYear,masterid,stationcode,sampledate,evaluator,hydromodcomments,fullyarmored,fullyarmoredcomments,area.SqMile,precip.Inch,valleyslope,valleywidth.Meter,giscomments,d50estimate,d50,d50comments,bankheightl1,bankheightl2,bankheightl3,bankheightr1,bankheightr2,bankheightr3,bankheightcomments,bankanglel1,bankanglel2,bankanglel3,bankangler1,bankangler2,bankangler3,bankanglecomments,streambedstate,streambedstatecomments,armoringpotential,armoringpotentialcomments,GradeCtrl.Hydromod,GradeCtrlComnts.Hydromod,lateralsusceptibilityl,lateralsusceptibilityr,lateralsusceptibilitycomments,Q10,VertSuscept,LatRatingL1,LatRatingL2,LatRatingL3,LatRatingR1,LatRatingR2,LatRatingR3,AverageLatSuscept,Year,stationname,latitude,longitude,huc,county,smcshed,smc_lu,psa_lu,probabilistic,new_lat,new_long,regionalboardnumber,psa6c,psa9c,psa10c,eco_ii_2010,eco_iii_2010,ag_2000_1k,ag_2000_5k,ag_2000_ws,code_21_2000_1k,code_21_2000_5k,code_21_2000_ws,urban_2000_1k,urban_2000_5k,urban_2000_ws,roaddens_1k,roaddens_5k,roaddens_ws,paved_int_1k,paved_int_5k,paved_int_ws,invdamdist,ag_2011_1k,ag_2011_5k,ag_2011_ws,urban_2011_1k,urban_2011_5k,urban_2011_ws,forest_2011_1k,forest_2011_5k,forest_2011_ws,pasture_2011_1k,pasture_2011_5k,pasture_2011_ws,row_crops_2011_1k,row_crops_2011_5k,row_crops_2011_ws,channeltype,structurewidth,structureshape,structureshapecomments,rightsideofstructure,rightvegetation,rightsidecomments,leftsideofstructure,leftvegetation,leftsidecomments,bottom,bottomcomments,vegetation,lowflowpresence,lowflowwidth,gradecontrolpresence,gradecontrollocation,GradeCtrlComnts.ChEn,channelmodcomments,CRAM.Index,CRAM.Biotic,CRAM.Buffer,CRAM.Hydrology,CRAM.Physical,csci,ASCI.diatoms,ASCI.hybrid,ASCI.sba,ipi,ipi_percentile,ev_flowhab,ev_flowhab_score,h_aqhab,h_aqhab_pred,h_aqhab_score,h_subnat,h_subnat_score,pct_safn,pct_safn_pred,pct_safn_score,xcmg,xcmg_pred,xcmg_score,ipi_qa,ev_flowhab_qa,h_aqhab_qa,h_subnat_qa,xcmg_qa,pct_rc
402M00066_2018,402M00066,402M00066,7/23/2018,Brianna Jones,,No,NA,223.4,26.2,0.008,1473,,,1,SA,0.7,0.7,0.7,0.7,0.7,0.7,,45,34,-88,31,31,20,,A,,,,,NA,4,4,,704.128908,High,VERY HIGH,VERY HIGH,VERY HIGH,VERY HIGH,VERY HIGH,VERY HIGH,VERY HIGH,2018,,34.29325,-119.30742,402,Ventura,Ventura,Urban,Urban,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Natural,NR,NR,,NR,NR,,NR,NR,,NR,,NR,NR,NR,Absent,NR,,,84,72.22,93.29,83.33,87.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
402M00082_2018,402M00082,402M00082,7/23/2018,Brianna Jones,,No,NA,223.6,26.2,0.006,1473,,,1,SA,0.75,0.7,0.8,0.75,0.7,0.8,,-88,38,22,-88,45,50,bank not accessible at A for L1,A,,,,,NA,4,4,,704.6773024,High,VERY HIGH,VERY HIGH,VERY HIGH,VERY HIGH,VERY HIGH,VERY HIGH,VERY HIGH,2018,,34.29004,-119.30801,402,Ventura,Ventura,Urban,Urban,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Natural,NR,NR,,NR,NR,,NR,NR,,NR,,NR,NR,NR,Absent,NR,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
402M00110_2019,402M00110,402M00110,6/10/2019,Karin Wisenbaker,,No,NA,80.6,31.3,0.016,642,,-88,10,NA,1.5,2.5,3.5,2,1.5,2,,30,35,45,60,75,45,,C,,NR,NR,NR,,3,3,,332.6124106,LOW,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,2019,,34.42735,-119.30364,402,Ventura,Ventura,Urban,Other,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Engineered,100+ m,NR,,Rock,Yes,,Earthen,Yes,,Soft/Natural,,No,Absent,NR,Absent,NR,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
402M00114_2018,402M00114,402M00114,6/14/2018,Brianna Jones,,No,NA,13.1,28.2,0.07,22,,,6,,0.75,0.75,0.75,0.75,0.75,0.75,,15,45,45,25,24,36,,A,,,,,NA,NA,NA,,63.17942429,High,Unk,Unk,Unk,Unk,Unk,Unk,NA,2018,,34.41665,-119.37011,402,Ventura,Ventura,Open,Forest,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Natural,NR,NR,,NR,NR,,NR,NR,,NR,,NR,NR,NR,Absent,NR,,,90,77.78,93.29,100,87.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
402M00127_2019,402M00127,402M00127,6/10/2019,Karin Wisenbaker,,No,NA,33.8,25.3,0.012,34,,-88,20,NA,3,2.5,20,2,2,2,,55,65,60,45,20,25,,B,,C,NR,C,,5,4,,132.5617272,MEDIUM,HIGH,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,2019,,34.42503,-119.26342,402,Ventura,Ventura,Agricultural,Other,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Natural,NR,NR,,NR,NR,,NR,NR,,NR,,NR,NR,NR,Absent,NR,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
403BA0027_2015,403BA0027,403BA0027,7/13/2015,Wendy Willis,,No,NA,30.4,28.5,0.01,93,Look for site SMC000027,20,1.03,,0.9,2.2,1.3,0.8,1.4,1,NA,46,21,43,39,40,58,,A,NA,,NA,,NA,4,3,NA,132.4916118,High,HIGH,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,2015,Piru Creek Random Site 27,34.66254,-119.05249,403,Ventura,Santa Clara,Open,Other,TRUE,34.6629638,-119.05229,4,SC,SCm,SCm,Mountain,8,0,0,0,3.4532,1.2667,0.5968,0,0,0,1.17106411,0.16859933,0.0407147,11,17,17,0,0,0,0,0,0.00472277,0.00114557,NA,NA,NA,NA,NA,NA,NA,NA,NA,Natural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Absent,NA,NA,NA,87,77.78,100,83.33,87.5,0.76114771,NA,NA,NA,0.85,0.11,5,1,16,1.04,1,14,1,54,41.74,0.61,29,134.25,0.14,0.21,0.3,2.09,0.21,0.36,2
403BA0027_2017,403BA0027,SMC00027,6/13/2017,Wendy Willis,,No,,30.4,28.5,0.008,194,"Took width measurement upstream, moved to be more representative",NA,40,,0.7,0.8,0.8,0.75,0.85,0.9,,45,27,53,30,25,32,,B,NA,C,NA,C,NA,2,4,NA,132.4916118,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,HIGH,HIGH,MEDIUM,2017,Piru Creek Random Site 27,34.66254,-119.05249,403,Ventura,Santa Clara,Open,Other,TRUE,34.6629638,-119.05229,4,SC,SCm,SCm,Mountain,8,0,0,0,3.4532,1.2667,0.5968,0,0,0,1.17106411,0.16859933,0.0407147,11,17,17,0,0,0,0,0,0.00472277,0.00114557,NA,NA,NA,NA,NA,NA,NA,NA,NA,Natural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Absent,NA,NA,NA,83,75,100,83.33,75,0.91006,1.368874461,1.174486797,1.221974971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
403BA0027_2018,403BA0027,SMC00027,6/26/2018,Brianna Jones,,No,NA,30.4,28.5,0.008,97,,,9,GF,0.7,0.8,0.8,0.75,0.85,0.9,,38,38,38,-88,30,35,,B,,C,,C,NA,2,4,,132.4916118,MEDIUM,LOW,LOW,LOW,MEDIUM,MEDIUM,MEDIUM,MEDIUM,2018,Piru Creek Random Site 27,34.66254,-119.05249,403,Ventura,Santa Clara,Open,Other,TRUE,34.6629638,-119.05229,4,SC,SCm,SCm,Mountain,8,0,0,0,3.4532,1.2667,0.5968,0,0,0,1.17106411,0.16859933,0.0407147,11,17,17,0,0,0,0,0,0.00472277,0.00114557,NA,NA,NA,NA,NA,NA,NA,NA,NA,Natural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Absent,NA,NA,NA,81,66.67,93.29,100,62.5,NA,NA,NA,NA,0.84,0.09,3,1,17,1.01,1,16,1,52,41.81,0.63,22,134.25,0.09,0.05,0.3,0.55,0.05,0.5,3
403BA0027_2019,403BA0027,SMC00027,6/18/2019,Alexis Wallengren,,No,NA,30.4,28.5,0.006,70,River bend greatly influences valley width.,-88,10,NA,0.7,0.7,0.7,0.7,0.7,0.7,,35,32,25,38,47,39,,A,,NR,NR,NR,,4,3,,132.4916118,High,HIGH,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,2019,Piru Creek Random Site 27,34.66254,-119.05249,403,Ventura,Santa Clara,Open,Other,TRUE,34.6629638,-119.05229,4,SC,SCm,SCm,Mountain,8,0,0,0,3.4532,1.2667,0.5968,0,0,0,1.17106411,0.16859933,0.0407147,11,17,17,0,0,0,0,0,0.00472277,0.00114557,NA,NA,NA,NA,NA,NA,NA,NA,NA,Natural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Absent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.97,0.41,9,1,19,1.15,1,20,1,43,41.5,0.76,64,134.25,0.34,0.05,0.3,0.55,0.05,0.45,1
403BA0047_2019,403BA0047,SMC00047,5/15/2019,Alexis Wallengren,,No,NA,1597.5,21,0,258,"Stream side slope used as ""valley""",-88,9,NA,0.75,0.75,0.75,0.75,0.75,0.75,,25,37,21,35,7,28,,A,,NR,NR,NR,,4,4,,3288.215215,High,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,2019,,34.27084,-119.1524,403,Ventura,Santa Clara,Urban,Urban,TRUE,34.2705938,-119.1531,4,SC,SCx,SCx,Xeric,85,19,47,3,11.5968,10.6885,4.8861,53,19,3,5.5486152,3.79114743,1.18278683,3,53,1887,0,11,45,3,60,19.81083845,3.39965381,NA,NA,NA,NA,NA,NA,NA,NA,NA,Natural,NR,NR,,NR,NR,,NR,NR,,NR,,NR,NR,NR,Absent,NR,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
403BA0136_2015,403BA0136,403BA0136,6/9/2015,SM,,No,NA,23.2,18.5,0.029761905,28,Look for site SMC00136 in luStation of SMC_ReadOnly access file,30,30,Not in file,0.2,0.2,0.2,0.2,0.2,0.2,NA,7,8,4,6,11,10,,B,NA,C,NA,C,NA,3,3,NA,75.08524484,MEDIUM,LOW,LOW,LOW,LOW,LOW,LOW,LOW,2015,Boquet Canyon Random Site 136,34.51202,-118.45038,403,Los Angeles,Santa Clara,Open,Other,TRUE,34.5114202,-118.45102,4,SC,SCm,SCm,Mountain,8,0,0,0,7.4615,5.2445,5.0259,0,0,0,0,0.03862152,0.18453636,0,1,2,0,0,0,0,1,0.10498688,0.09895349,NA,NA,NA,NA,NA,NA,NA,NA,NA,Natural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Absent,NA,NA,NA,76,69.44,86.42,75,75,0.9359094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
403CE0156_2015,403CE0156,403CE0156,6/11/2015,SM,,No,NA,45,25.9,0.023982732,820,,15,15,Not in file,0.12,0.14,0.14,0.12,0.14,0.14,NA,30,56,42,32,41,31,,A,NA,,NA,,NA,4,4,NA,173.1384514,High,VERY HIGH,VERY HIGH,VERY HIGH,VERY HIGH,VERY HIGH,VERY HIGH,VERY HIGH,2015,Santa Paula Creek ~2.5mi above Santa Clara River,34.37746,-119.05968,403,Ventura,Santa Clara,Open,Other,TRUE,34.3787875,-119.06381,4,SC,SCx,SCx,Xeric,85,20,15,3,26.6351,7.4683,3.0884,16,2,0,4.53061932,1.95507021,1.06079998,1,5,39,0,21,16,3,18,2.06344318,0.38496166,NA,NA,NA,NA,NA,NA,NA,NA,NA,Natural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Absent,NA,NA,NA,73,61.11,80.63,75,75,0.46687972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
403CE0188_2015,403CE0188,403CE0188,6/10/2015,SM,,No,NA,45.6,25.8,0.014,1108,,2,2,Not in file,4,4,4,4,4,4,NA,40,40,40,40,40,40,,A,NA,,NA,,NA,1,1,NA,174.6241922,High,LOW,LOW,LOW,LOW,LOW,LOW,LOW,2015,Santa Paula Creek ~0.6mi above Santa Clara River,34.35646,-119.04752,403,Ventura,Santa Clara,Urban,Urban,TRUE,34.3555643,-119.04844,4,SC,SCx,SCx,Xeric,85,2,23,3,50.6024,17.3954,3.5043,47,8,1,4.95095099,3.07194997,1.10375086,3,5,42,0,4,24,3,51,8.81997584,0.65765855,NA,NA,NA,NA,NA,NA,NA,NA,NA,Engineered,10 to 50 m,Trapezoidal,NA,Grouted rock,No,NA,Grouted rock,No,NA,Soft/Natural,NA,No,Absent,NA,Absent,NA,NA,NA,44,61.11,25,41.67,50,0.83743843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
